                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.2621,                 0.8072,                  1.102,                0.82463,                0.68939,                0.68009,                0.50225,                 1.1939,                0.74603,                 1.0803,             0.00047015,             0.00047015,             0.00047015
                     46,                 1.1164,                0.74015,                 1.0653,                0.83105,                0.68532,                0.68345,                0.49331,                 1.2688,                0.79077,                 1.1311,              0.0004619,              0.0004619,              0.0004619
                     47,                 1.0953,                0.75125,                 1.0599,                0.83337,                0.69489,                0.69089,                0.48477,                 1.2463,                0.74674,                 1.0916,             0.00045365,             0.00045365,             0.00045365
                     48,                 1.1801,                0.75254,                 1.0847,                0.85382,                 0.6879,                 0.6799,                0.48383,                 1.2382,                0.71786,                 1.0766,             0.00044541,             0.00044541,             0.00044541
                     49,                 1.1454,                0.78435,                 1.0975,                0.83884,                0.68094,                0.67619,                0.52595,                 1.2527,                0.71552,                  1.086,             0.00043716,             0.00043716,             0.00043716
                     50,                 1.1241,                0.76118,                 1.0863,                0.78969,                0.68333,                0.66524,                 0.4932,                 1.2852,                 0.7297,                 1.1289,             0.00042891,             0.00042891,             0.00042891
                     51,                 1.0808,                0.74417,                 1.0701,                0.92839,                0.56233,                0.67484,                0.50562,                 1.2079,                 0.6894,                 1.0899,             0.00042066,             0.00042066,             0.00042066
                     52,                  1.097,                0.72857,                 1.0765,                0.79639,                0.69325,                0.68462,                0.54419,                 1.1321,                0.63248,                 1.0836,             0.00041242,             0.00041242,             0.00041242
                     53,                 1.1375,                0.78388,                 1.0925,                0.82253,                0.68578,                0.68879,                0.51999,                 1.1613,                0.63525,                 1.1049,             0.00040417,             0.00040417,             0.00040417
                     54,                 1.0938,                0.71984,                 1.0755,                 0.8587,                0.69318,                0.69696,                0.55477,                 1.2387,                0.64105,                 1.0923,             0.00039592,             0.00039592,             0.00039592
                     55,                 1.1054,                0.71698,                 1.0617,                 0.8772,                0.68081,                0.67934,                0.53211,                 1.2697,                0.69863,                  1.092,             0.00038768,             0.00038768,             0.00038768
                     56,                 1.1211,                0.71884,                 1.0639,                0.88481,                0.67735,                0.68043,                0.53163,                 1.2847,                0.69016,                 1.1087,             0.00037943,             0.00037943,             0.00037943
                     57,                 1.1194,                0.72569,                 1.0518,                0.86317,                0.68116,                0.68219,                0.54636,                 1.2787,                0.67033,                 1.1126,             0.00037118,             0.00037118,             0.00037118
                     58,                  1.124,                0.74061,                 1.0671,                0.84997,                0.67695,                0.69256,                0.55552,                 1.2368,                0.63422,                 1.0889,             0.00036294,             0.00036294,             0.00036294
                     59,                 1.0085,                0.69537,                 1.0329,                0.83231,                 0.6748,                0.69459,                0.54603,                  1.195,                0.62333,                 1.0763,             0.00035469,             0.00035469,             0.00035469
                     60,                 1.0835,                0.71727,                 1.0389,                0.86081,                 0.6604,                0.70199,                0.55008,                 1.1628,                 0.6249,                 1.0837,             0.00034644,             0.00034644,             0.00034644
                     61,                 1.0954,                0.69736,                  1.046,                0.87454,                0.65376,                0.69532,                0.54756,                 1.1732,                0.63564,                 1.0816,              0.0003382,              0.0003382,              0.0003382
                     62,                 1.0308,                0.68372,                 1.0198,                0.86259,                0.67936,                0.69311,                0.55881,                 1.2619,                0.66186,                 1.0901,             0.00032995,             0.00032995,             0.00032995
                     63,                 1.0738,                0.71999,                 1.0472,                 0.8604,                0.66977,                0.68937,                0.52891,                 1.2664,                0.64858,                 1.0901,              0.0003217,              0.0003217,              0.0003217
                     64,                 1.0239,                0.69098,                 1.0307,                0.88515,                0.65519,                0.68622,                 0.5072,                  1.146,                0.60898,                 1.0689,             0.00031346,             0.00031346,             0.00031346
                     65,                 1.0467,                0.68768,                 1.0457,                0.87183,                0.65133,                0.68628,                 0.5045,                  1.124,                0.59629,                 1.0661,             0.00030521,             0.00030521,             0.00030521
                     66,                 1.0311,                0.68791,                 1.0486,                0.85897,                0.65447,                0.68788,                 0.5262,                 1.1381,                0.59357,                 1.0605,             0.00029696,             0.00029696,             0.00029696
                     67,                 1.0495,                0.69787,                 1.0593,                0.87493,                0.65749,                  0.687,                0.53122,                 1.1974,                 0.6109,                 1.0762,             0.00028872,             0.00028872,             0.00028872
                     68,                   1.06,                0.69228,                 1.0543,                0.88776,                0.67365,                0.69643,                0.54419,                 1.1878,                0.62308,                 1.0724,             0.00028047,             0.00028047,             0.00028047
                     69,                 1.0265,                0.67036,                 1.0477,                0.88543,                0.67188,                0.69588,                0.54473,                 1.1595,                0.62207,                 1.0556,             0.00027222,             0.00027222,             0.00027222
                     70,                 1.0264,                0.68736,                 1.0425,                0.87386,                0.68776,                0.69906,                0.57547,                 1.1207,                0.64313,                 1.0459,             0.00026398,             0.00026398,             0.00026398
                     71,                 1.0248,                0.66785,                 1.0178,                0.86893,                0.68478,                0.69885,                0.56462,                 1.1318,                0.65017,                 1.0419,             0.00025573,             0.00025573,             0.00025573
                     72,                 1.0556,                0.69105,                   1.05,                0.86802,                0.68471,                0.69872,                0.55548,                 1.1624,                0.62837,                 1.0452,             0.00024748,             0.00024748,             0.00024748
                     73,                 1.0019,                0.67919,                 1.0338,                0.87208,                0.68216,                0.69222,                0.54368,                 1.1799,                0.62771,                 1.0514,             0.00023924,             0.00023924,             0.00023924
                     74,                 1.0125,                0.66046,                 1.0288,                0.87262,                0.68358,                0.68942,                0.55527,                 1.1848,                 0.6313,                 1.0571,             0.00023099,             0.00023099,             0.00023099
                     75,                0.99108,                0.68961,                 1.0304,                0.88623,                 0.6844,                0.68782,                0.56001,                 1.1301,                0.62022,                 1.0427,             0.00022274,             0.00022274,             0.00022274
                     76,                0.98447,                0.64651,                 1.0093,                0.90733,                 0.6733,                0.69458,                0.56854,                 1.1584,                0.62459,                 1.0442,              0.0002145,              0.0002145,              0.0002145
                     77,                 1.0142,                0.65483,                 1.0244,                0.89321,                0.68494,                0.69364,                0.55585,                 1.1694,                0.62673,                 1.0408,             0.00020625,             0.00020625,             0.00020625
                     78,                 1.0241,                0.72812,                 1.0674,                0.87768,                0.69097,                0.69262,                0.55709,                 1.2522,                0.63345,                 1.0603,               0.000198,               0.000198,               0.000198
                     79,                 1.0299,                 0.6596,                 1.0339,                0.87181,                0.69128,                0.69229,                0.57486,                 1.2566,                0.62885,                 1.0591,             0.00018976,             0.00018976,             0.00018976
                     80,                 1.0093,                 0.6663,                 1.0228,                0.86654,                 0.6975,                0.68897,                0.55785,                 1.1725,                  0.615,                 1.0422,             0.00018151,             0.00018151,             0.00018151
                     81,                0.97071,                 0.6895,                 1.0366,                0.86969,                0.68239,                0.69034,                0.56529,                 1.1442,                0.61138,                 1.0403,             0.00017326,             0.00017326,             0.00017326
                     82,                0.99013,                0.66722,                 1.0199,                0.81911,                0.69555,                0.68735,                0.56654,                 1.1254,                0.60465,                 1.0372,             0.00016502,             0.00016502,             0.00016502
                     83,                0.99462,                0.65327,                   1.02,                0.80513,                0.69578,                0.69675,                0.57496,                 1.1616,                0.60597,                 1.0672,             0.00015677,             0.00015677,             0.00015677
                     84,                 1.0428,                0.64458,                 1.0433,                0.81347,                0.69552,                 0.7036,                0.58321,                 1.1818,                0.61084,                 1.0638,             0.00014852,             0.00014852,             0.00014852
                     85,                0.98282,                0.63485,                 1.0154,                0.82724,                0.69619,                0.70746,                 0.5886,                 1.1818,                0.61326,                 1.0525,             0.00014028,             0.00014028,             0.00014028
                     86,                0.99599,                0.64565,                 1.0339,                0.86158,                0.68778,                0.70665,                 0.5835,                 1.1923,                0.62238,                 1.0415,             0.00013203,             0.00013203,             0.00013203
                     87,                0.98526,                0.64481,                 1.0129,                0.87978,                0.67476,                0.70544,                0.58045,                 1.1685,                0.61112,                 1.0363,             0.00012378,             0.00012378,             0.00012378
                     88,                0.95998,                0.62475,                 1.0158,                0.86907,                0.69804,                0.70661,                0.57959,                 1.1297,                0.58577,                 1.0385,             0.00011554,             0.00011554,             0.00011554
                     89,                0.98026,                0.65091,                 1.0509,                0.88536,                0.69976,                0.71079,                0.58767,                 1.1258,                0.57753,                 1.0469,             0.00010729,             0.00010729,             0.00010729
                     90,                   1.05,                0.63518,                 1.0201,                 0.8964,                0.68479,                0.71793,                0.58171,                  1.132,                0.57895,                 1.0558,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                0.98636,                0.69401,                 1.0593,                 0.8695,                0.69384,                0.70909,                0.59235,                 1.1455,                0.58693,                 1.0467,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                0.93815,                0.67611,                 1.0566,                0.83645,                0.71989,                0.70535,                 0.5972,                 1.1549,                0.58982,                 1.0398,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.91659,                0.63354,                 1.0464,                0.86347,                0.69837,                0.70609,                0.59691,                 1.1614,                0.59074,                 1.0412,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.94763,                0.67279,                 1.0575,                0.90448,                0.67869,                0.70115,                0.56599,                 1.1532,                0.59117,                  1.042,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.95386,                0.62413,                 1.0305,                 0.9072,                0.68797,                0.70401,                0.56639,                 1.1341,                0.59506,                 1.0411,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                  1.006,                0.66945,                 1.0487,                0.77939,                0.68443,                0.70782,                0.57303,                 1.1205,                 0.5923,                 1.0386,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 0.9219,                0.63354,                 1.0233,                0.78974,                0.68014,                0.70862,                0.56508,                   1.12,                0.59182,                 1.0378,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.94324,                 0.6386,                 1.0445,                0.77601,                0.68426,                0.70928,                  0.566,                  1.123,                0.58872,                 1.0357,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.89699,                0.60288,                 1.0182,                0.77879,                0.68347,                0.70996,                 0.5811,                 1.1284,                0.59143,                 1.0351,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                0.97135,                0.62932,                 1.0427,                0.78255,                0.69036,                0.71483,                0.58408,                 1.1287,                0.59175,                 1.0356,             1.6577e-05,             1.6577e-05,             1.6577e-05
