                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                 1.0201,                0.63286,                0.99597,                0.63286,                0.70355,                0.72729,                0.58257,                 1.4351,                 0.6851,                 1.0051,             0.00048389,             0.00048389,             0.00048389
                    129,                 1.0295,                0.64628,                0.97436,                0.61321,                0.70786,                0.72603,                0.59736,                 1.5262,                0.70772,                0.99359,             0.00048114,             0.00048114,             0.00048114
                    130,                 1.0679,                0.65283,                 1.0062,                0.62867,                0.69926,                0.72598,                0.61275,                 1.5069,                0.70395,                0.98536,             0.00047839,             0.00047839,             0.00047839
                    131,                 1.0941,                0.66882,                0.99945,                0.63497,                0.69454,                0.72915,                0.61309,                 1.4437,                0.69036,                 0.9827,             0.00047564,             0.00047564,             0.00047564
                    132,                 1.0819,                0.66249,                 1.0232,                0.63858,                0.69063,                0.73519,                 0.5982,                 1.4206,                 0.6705,                 1.0013,             0.00047289,             0.00047289,             0.00047289
                    133,                 1.0306,                0.64646,                 1.0028,                0.63463,                0.69196,                0.73453,                0.57807,                 1.3519,                0.65185,                0.98395,             0.00047015,             0.00047015,             0.00047015
                    134,                 1.0499,                0.68142,                 1.0009,                0.65302,                0.69063,                0.73801,                0.57323,                 1.3287,                0.64002,                0.97383,              0.0004674,              0.0004674,              0.0004674
                    135,                 1.0338,                0.64574,                0.99347,                0.77701,                0.70518,                 0.7397,                0.57799,                  1.342,                0.64096,                0.96831,             0.00046465,             0.00046465,             0.00046465
                    136,                  1.062,                0.66499,                0.98621,                0.79082,                0.70168,                0.73999,                0.59209,                  1.341,                 0.6443,                0.96632,              0.0004619,              0.0004619,              0.0004619
                    137,                  1.083,                0.64103,                0.98722,                0.79465,                0.70891,                0.73741,                0.59374,                 1.2999,                0.63294,                0.96433,             0.00045915,             0.00045915,             0.00045915
                    138,                 1.0582,                0.65166,                 1.0139,                0.77545,                0.70638,                0.73376,                 0.6032,                 1.2613,                0.60598,                0.96454,              0.0004564,              0.0004564,              0.0004564
                    139,                 1.0537,                0.65495,                 1.0108,                0.63635,                0.67811,                0.71821,                0.57553,                 1.2821,                0.60847,                0.97111,             0.00045365,             0.00045365,             0.00045365
                    140,                 1.0395,                0.64369,                 1.0019,                0.62509,                0.68968,                0.71507,                0.55625,                 1.3469,                0.64468,                0.98128,              0.0004509,              0.0004509,              0.0004509
                    141,                 1.0746,                 0.6426,                 0.9827,                0.62678,                0.70042,                0.71592,                0.55018,                 1.4365,                0.66663,                0.99091,             0.00044815,             0.00044815,             0.00044815
                    142,                 1.0713,                0.68598,                 1.0047,                 0.6458,                0.70123,                0.72684,                 0.5566,                 1.4797,                0.66539,                      1,             0.00044541,             0.00044541,             0.00044541
                    143,                 1.0141,                0.62965,                 0.9989,                0.64159,                0.70186,                0.72797,                0.56314,                 1.4616,                0.65867,                 1.0001,             0.00044266,             0.00044266,             0.00044266
                    144,                 1.0378,                0.65655,                 1.0057,                0.65731,                0.71854,                  0.737,                0.57624,                 1.3896,                 0.6586,                0.99525,             0.00043991,             0.00043991,             0.00043991
                    145,                 1.0978,                 0.6675,                  1.006,                0.65187,                 0.7202,                0.73806,                 0.6012,                 1.4137,                0.66641,                0.99482,             0.00043716,             0.00043716,             0.00043716
                    146,                 1.0205,                0.62001,                0.98299,                0.65094,                0.70975,                0.74172,                 0.5828,                 1.3858,                0.65197,                0.98874,             0.00043441,             0.00043441,             0.00043441
                    147,                 1.0293,                0.64884,                0.99932,                0.60764,                0.72136,                0.73934,                0.58367,                 1.3821,                0.65057,                0.99291,             0.00043166,             0.00043166,             0.00043166
                    148,                 1.0407,                0.62499,                0.98248,                0.62695,                0.69059,                0.73425,                0.59957,                  1.443,                0.65037,                 1.0036,             0.00042891,             0.00042891,             0.00042891
                    149,                0.99934,                0.63608,                0.97294,                0.60694,                0.69499,                0.73548,                0.60536,                  1.462,                0.64561,                 1.0091,             0.00042616,             0.00042616,             0.00042616
                    150,                 1.0208,                0.62861,                 0.9953,                0.59787,                0.69625,                0.73442,                0.57962,                 1.4447,                0.64747,                0.99252,             0.00042341,             0.00042341,             0.00042341
                    151,                0.99359,                0.65552,                 1.0001,                0.61604,                0.68992,                0.73049,                0.57148,                 1.4709,                0.65937,                0.98368,             0.00042066,             0.00042066,             0.00042066
                    152,                 1.0509,                0.66662,                 1.0091,                0.61699,                0.68203,                0.72207,                0.55725,                 1.4545,                0.65485,                0.98321,             0.00041792,             0.00041792,             0.00041792
